,Zip Code,Population,Income,Bike to work
0,10464,4434,93365,0
1,10470,15432,57160,0
2,10455,42283,26801,106
3,10473,59609,41638,11
4,11234,95666,81399,177
5,11210,67040,65900,120
6,11215,70156,123583,1256
7,11224,46707,33131,62
8,11239,13244,27104,11
9,10030,29882,37232,54
10,10037,21139,45041,20
11,10009,57925,61548,2176
12,10028,47793,125140,456
13,10065,28109,127375,237
14,10011,50472,128613,867
15,10112,0,-666666666,0
16,10031,60254,49891,429
17,10169,0,-666666666,0
18,10271,0,-666666666,0
19,11355,80853,39207,115
20,11423,31400,70266,4
21,11415,19372,68294,124
22,11358,37190,66129,35
23,11697,3540,103580,15
24,11694,21354,80976,54
25,11004,15234,92657,20
26,11424,0,-666666666,0
27,10457,74554,27420,50
28,10463,71360,58551,191
29,10454,38203,21149,124
30,11238,54540,85407,1379
31,11206,88349,36404,1077
32,11213,66295,41710,472
33,11226,100277,52052,757
34,11230,89075,49541,432
35,10075,21556,137146,180
36,10025,92805,85930,801
37,10039,27726,39653,137
38,10005,8831,173333,0
39,10173,0,-666666666,0
40,10044,11682,100441,30
41,11357,39902,83951,0
42,11420,48489,67932,30
43,11691,67094,46147,72
44,11417,31927,73424,57
45,11101,30043,65392,209
46,11418,38517,66570,106
47,11366,14650,78990,6
48,11105,37382,73959,179
49,11426,20801,88803,0
50,11411,20759,93882,29
51,11430,198,-666666666,0
52,10306,53142,79569,3
53,10302,18204,64103,0
54,10312,61741,95064,0
55,11235,78128,52538,103
56,11205,46064,56708,1121
57,10017,15801,127506,81
58,10027,64548,46113,444
59,10032,64264,50391,727
60,10002,74993,35859,1622
61,10026,39363,58884,210
62,10128,59256,114010,367
63,10153,0,-666666666,0
64,10154,0,-666666666,0
65,10165,0,-666666666,0
66,11422,32082,89235,0
67,11373,93967,51183,351
68,11372,61844,56383,242
69,11421,41002,72066,54
70,11360,19621,86174,8
71,11436,20077,75242,29
72,11432,62053,55906,96
73,11428,18929,73699,22
74,10301,38733,55802,94
75,10305,42298,76489,108
76,10310,23262,72093,23
77,10468,78647,36046,199
78,10462,76756,52409,77
79,10465,44205,74796,0
80,11370,32514,65098,101
81,11211,102624,71225,1458
82,11209,67809,72314,210
83,11220,95643,47079,533
84,11425,0,-666666666,0
85,10040,44571,47137,64
86,10018,9687,108914,52
87,10022,31125,135363,105
88,10023,62435,130452,911
89,10036,27428,91936,588
90,10115,0,-666666666,0
91,10177,0,-666666666,0
92,10174,0,-666666666,0
93,10279,43,-666666666,0
94,11434,65791,62207,15
95,11378,37279,73333,120
96,11005,1749,62993,0
97,11109,5981,148590,60
98,10303,25947,62558,13
99,10461,50348,56612,90
100,10451,47798,28921,11
101,10471,21896,85707,24
102,11223,81789,50108,386
103,11221,83835,50153,1401
104,11203,75451,51277,103
105,11232,27602,56661,351
106,11229,83615,60873,298
107,11222,36492,85111,971
108,11212,76527,26239,80
109,11207,91972,37243,222
110,11237,49310,51413,682
111,11228,44994,67911,88
112,10013,28709,105442,439
113,10029,79597,34016,365
114,10021,46215,118289,426
115,10014,30738,126601,863
116,10006,3454,176250,32
117,10020,0,-666666666,0
118,10278,0,-666666666,0
119,10280,9384,169844,135
120,10172,0,-666666666,0
121,10103,0,-666666666,0
122,10110,0,-666666666,0
123,11429,27403,83240,80
124,11362,18721,89185,29
125,11368,112425,50797,422
126,11412,37458,78517,61
127,11414,29219,71648,0
128,11413,42443,86324,23
129,11416,27125,67461,60
130,10314,90761,86742,37
131,10467,103732,37015,297
132,10458,83960,33932,33
133,10472,68796,30977,165
134,11204,76978,49785,262
135,11216,56308,61121,1025
136,11219,90036,39295,440
137,11208,98660,40733,78
138,11233,76819,40449,314
139,11217,41407,107362,629
140,11225,58882,55862,570
141,10035,35743,30081,219
142,10016,51057,117004,272
143,10012,23411,109037,690
144,10024,59001,131668,630
145,10119,0,-666666666,0
146,10167,0,-666666666,0
147,10170,0,-666666666,0
148,11354,55200,42500,125
149,11419,49618,70882,52
150,11374,42653,63161,62
151,11427,24037,74581,21
152,11377,86421,57010,250
153,11106,38363,63703,342
154,11361,27246,85887,0
155,11365,44983,66483,7
156,11364,36806,76988,0
157,11451,0,-666666666,0
158,10311,0,-666666666,0
159,10460,59505,26866,66
160,10456,94218,27106,66
161,10452,76078,28277,139
162,10469,73870,63652,63
163,10475,43208,50832,0
164,11231,37845,100213,1096
165,11236,100331,67669,118
166,10199,148,-666666666,0
167,10004,3028,157645,6
168,10019,43703,98833,682
169,10007,7023,246813,88
170,10152,0,-666666666,0
171,10282,5593,250001,172
172,10162,1584,188880,45
173,10171,0,-666666666,0
174,11385,106717,72261,492
175,11433,36489,51521,13
176,11356,23362,60493,39
177,11375,73488,80542,66
178,11104,26119,61269,256
179,11351,0,-666666666,0
180,10304,41064,52199,126
181,10309,33531,103175,15
182,10307,15232,80893,0
183,10466,72479,51477,161
184,10459,48351,27687,41
185,10453,79606,25275,148
186,10474,12127,25493,10
187,11214,92946,54041,268
188,11201,62823,124996,1224
189,11218,74508,69415,601
190,10034,42910,54716,50
191,10038,22800,86058,274
192,10033,59607,58614,181
193,10001,22924,88526,534
194,10003,54682,112131,1379
195,10111,0,-666666666,0
196,10069,5085,110625,204
197,10010,33730,117923,752
198,10168,0,-666666666,0
199,11379,37851,82819,49
200,11367,41824,57933,0
201,11435,59296,64086,78
202,11692,20991,44024,78
203,11103,36140,71437,275
204,11102,30800,64067,260
205,11693,12919,59431,15
206,11369,34118,54121,182
207,11363,6952,104792,13
208,11371,0,-666666666,0
209,11359,0,-666666666,0
210,10308,30186,93963,61
