,Zip Code,Employees,Payroll
0,10464,1078,39611
1,10470,4433,209115
2,10455,12775,478348
3,10473,8861,347066
4,11234,22894,801497
5,11210,9899,346858
6,11215,23879,1237392
7,11224,6080,244263
8,11239,4327,132918
9,10030,2606,88386
10,10037,4354,237076
11,10009,10426,480235
12,10028,18930,923047
13,10065,27622,2593340
14,10011,75630,8224688
15,10112,8221,1651720
16,10031,5356,169601
17,10169,2859,542959
18,10271,4874,488166
19,11355,22626,1082731
20,11423,2903,124453
21,11415,4050,168392
22,11358,5682,206831
23,11697,418,18793
24,11694,2528,88905
25,11004,3305,166315
26,11424,unknown,unknown
27,10457,12881,764791
28,10463,12283,470888
29,10454,11368,500636
30,11238,9994,363830
31,11206,21023,809759
32,11213,7829,313504
33,11226,9949,298022
34,11230,31199,920668
35,10075,7537,482759
36,10025,20768,950880
37,10039,1748,54102
38,10005,42924,6411147
39,10173,1662,335105
40,10044,1746,88421
41,11357,8510,388123
42,11420,4663,197093
43,11691,11057,463566
44,11417,3932,145791
45,11101,69128,5018600
46,11418,12377,669713
47,11366,3432,152300
48,11105,10847,646114
49,11426,1945,105624
50,11411,1203,43975
51,11430,37004,2424346
52,10306,11175,375983
53,10302,4677,239338
54,10312,7279,273396
55,11235,30672,1135357
56,11205,17530,736308
57,10017,143474,22621574
58,10027,46236,2935341
59,10032,18682,1680341
60,10002,22737,764720
61,10026,4354,150898
62,10128,16786,866052
63,10153,5659,1744576
64,10154,7451,1396227
65,10165,3627,380880
66,11422,2982,107335
67,11373,18060,783306
68,11372,10391,370559
69,11421,2426,86203
70,11360,3705,137290
71,11436,972,35606
72,11432,16515,732113
73,11428,2469,80528
74,10301,8696,299999
75,10305,14522,838317
76,10310,7644,402304
77,10468,8731,301793
78,10462,17978,723599
79,10465,9406,505181
80,11370,4426,294162
81,11211,35067,1193096
82,11209,15164,646251
83,11220,26391,1175894
84,11425,unknown,unknown
85,10040,4336,160695
86,10018,139178,11729261
87,10022,141498,24305148
88,10023,45222,3135668
89,10036,185059,25651837
90,10115,2891,165903
91,10177,2735,754041
92,10174,2082,349497
93,10279,1449,160035
94,11434,13397,593842
95,11378,19451,1077314
96,11005,290,12679
97,11109,541,19351
98,10303,6972,359666
99,10461,20210,925734
100,10451,17215,1056142
101,10471,9308,408684
102,11223,20122,691654
103,11221,7215,230715
104,11203,16888,1023463
105,11232,19218,911332
106,11229,18403,669127
107,11222,17397,901079
108,11212,10364,534012
109,11207,14445,556364
110,11237,17073,770175
111,11228,5314,202429
112,10013,84995,8807315
113,10029,28885,1542239
114,10021,64535,6101526
115,10014,40776,3292125
116,10006,19177,2225200
117,10020,27982,4894228
118,10278,571,31496
119,10280,1193,54663
120,10172,5241,1327487
121,10103,3524,1384512
122,10110,2824,318395
123,11429,3216,195617
124,11362,4704,155856
125,11368,12862,635159
126,11412,1673,52909
127,11414,3465,108855
128,11413,5450,237825
129,11416,8134,392241
130,10314,21948,878951
131,10467,29624,2129604
132,10458,18783,617417
133,10472,3958,135576
134,11204,15741,501289
135,11216,6712,264361
136,11219,38873,1712897
137,11208,9388,373837
138,11233,6170,192307
139,11217,19155,811361
140,11225,4999,162991
141,10035,11653,541852
142,10016,117469,11121401
143,10012,40157,2982556
144,10024,19510,875300
145,10119,9384,1167270
146,10167,7017,1555430
147,10170,5024,591386
148,11354,32778,1415707
149,11419,3763,125006
150,11374,16400,579229
151,11427,2607,132816
152,11377,17197,731872
153,11106,10174,430750
154,11361,7869,357205
155,11365,7026,363938
156,11364,2922,97011
157,11451,61,1221
158,10311,771,47213
159,10460,5486,231386
160,10456,8888,420825
161,10452,6988,255827
162,10469,8053,332852
163,10475,8863,334462
164,11231,13126,590805
165,11236,13860,566851
166,10199,34,893
167,10004,59744,5713784
168,10019,149790,23855032
169,10007,38403,4129012
170,10152,2208,697394
171,10282,9905,4919619
172,10162,140,6591
173,10171,1748,605294
174,11385,16215,676822
175,11433,3665,160777
176,11356,9923,576478
177,11375,31865,1163670
178,11104,6989,365314
179,11351,1592,53166
180,10304,6549,272005
181,10309,11150,429343
182,10307,1658,63643
183,10466,6758,271039
184,10459,5778,211790
185,10453,5896,239760
186,10474,15499,954053
187,11214,16046,523543
188,11201,56191,3155652
189,11218,18098,622654
190,10034,4413,187737
191,10038,45488,3777639
192,10033,7802,280287
193,10001,151769,10646611
194,10003,98735,6916529
195,10111,2890,650360
196,10069,540,31337
197,10010,73268,8862128
198,10168,2683,230052
199,11379,4725,192583
200,11367,6045,180675
201,11435,7926,347962
202,11692,1709,65925
203,11103,7897,347562
204,11102,8480,382861
205,11693,1476,55474
206,11369,4222,199901
207,11363,948,44078
208,11371,11811,843487
209,11359,39,1085
210,10308,2670,88506
