,Zip Code,County,Lat,Long,Area,Bike Shops
0,10464,Bronx County,40.86,-73.79,3.5,0
1,10470,Bronx County,40.9,-73.86,1.42,0
2,10455,Bronx County,40.81,-73.91,0.71,0
3,10473,Bronx County,40.82,-73.86,2.18,1
4,11234,Kings County,40.61,-73.89,7.55,1
5,11210,Kings County,40.63,-73.95,1.64,1
6,11215,Kings County,40.67,-73.98,2.18,9
7,11224,Kings County,40.58,-73.99,1.54,0
8,11239,Kings County,40.65,-73.87,0.57,0
9,10030,New York County,40.818,-73.943,0.28,2
10,10037,New York County,40.814,-73.937,0.26,0
11,10009,New York County,40.73,-73.98,0.62,8
12,10028,New York County,40.78,-73.95,0.31,1
13,10065,New York County,40.765,-73.965,0.39,6
14,10011,New York County,40.74,-74.0,0.66,6
15,10112,New York County,40.759,-73.98,0.0,0
16,10031,New York County,40.83,-73.95,0.65,3
17,10169,New York County,40.791,-73.966,0.0,0
18,10271,New York County,40.7082,-74.0104,0.0,0
19,11355,Queens County,40.75,-73.83,1.74,1
20,11423,Queens County,40.72,-73.77,1.41,1
21,11415,Queens County,40.71,-73.83,0.57,0
22,11358,Queens County,40.76,-73.8,1.95,1
23,11697,Queens County,40.56,-73.91,2.22,0
24,11694,Queens County,40.58,-73.85,1.37,3
25,11004,Queens County,40.75,-73.71,0.95,1
26,11424,Queens County,40.714,-73.828,0.0,0
27,10457,Bronx County,40.85,-73.9,1.06,3
28,10463,Bronx County,40.89,-73.91,1.45,0
29,10454,Bronx County,40.81,-73.92,1.04,2
30,11238,Kings County,40.68,-73.96,1.11,5
31,11206,Kings County,40.7,-73.94,1.43,12
32,11213,Kings County,40.67,-73.94,1.09,1
33,11226,Kings County,40.65,-73.96,1.29,1
34,11230,Kings County,40.62,-73.97,1.84,1
35,10075,New York County,40.77,-73.96,0.18,2
36,10025,New York County,40.8,-73.97,0.75,6
37,10039,New York County,40.83,-73.94,0.46,0
38,10005,New York County,40.705,-74.005,0.07,0
39,10173,New York County,40.791,-73.966,0.0,0
40,10044,New York County,40.77,-73.95,0.24,1
41,11357,Queens County,40.79,-73.81,2.8,1
42,11420,Queens County,40.68,-73.82,2.08,0
43,11691,Queens County,40.6,-73.76,2.83,0
44,11417,Queens County,40.67,-73.84,1.12,0
45,11101,Queens County,40.74,-73.94,2.62,5
46,11418,Queens County,40.7,-73.83,1.63,2
47,11366,Queens County,40.73,-73.79,1.09,0
48,11105,Queens County,40.78,-73.91,1.63,1
49,11426,Queens County,40.74,-73.72,1.35,0
50,11411,Queens County,40.69,-73.74,1.17,0
51,11430,Queens County,40.66,-73.82,7.12,0
52,10306,Richmond County,40.57,-74.13,7.47,1
53,10302,Richmond County,40.63,-74.11,1.19,2
54,10312,Richmond County,40.55,-74.18,7.68,0
55,11235,Kings County,40.58,-73.95,2.25,1
56,11205,Kings County,40.7,-73.97,0.95,5
57,10017,New York County,40.75,-73.973,0.32,2
58,10027,New York County,40.81,-73.96,0.87,1
59,10032,New York County,40.84,-73.94,0.66,2
60,10002,New York County,40.72,-73.99,0.88,17
61,10026,New York County,40.801,-73.953,0.33,5
62,10128,New York County,40.78,-73.95,0.47,5
63,10153,New York County,40.7639,-73.9733,0.0,0
64,10154,New York County,40.758,-73.972,0.0,0
65,10165,New York County,40.791,-73.966,0.01,0
66,11422,Queens County,40.65,-73.77,1.97,0
67,11373,Queens County,40.74,-73.88,1.53,1
68,11372,Queens County,40.75,-73.88,0.74,2
69,11421,Queens County,40.69,-73.86,1.29,0
70,11360,Queens County,40.78,-73.78,1.43,0
71,11436,Queens County,40.67,-73.8,0.79,0
72,11432,Queens County,40.72,-73.79,2.15,1
73,11428,Queens County,40.72,-73.74,0.83,0
74,10301,Richmond County,40.63,-74.1,3.66,1
75,10305,Richmond County,40.61,-74.08,4.25,2
76,10310,Richmond County,40.63,-74.12,1.8,0
77,10468,Bronx County,40.87,-73.9,1.08,0
78,10462,Bronx County,40.84,-73.85,1.48,2
79,10465,Bronx County,40.83,-73.82,3.43,1
80,11370,Queens County,40.78,-73.89,1.42,1
81,11211,Kings County,40.71,-73.95,2.3,15
82,11209,Kings County,40.62,-74.03,2.16,3
83,11220,Kings County,40.64,-74.02,1.79,7
84,11425,Kings County,40.704,-73.832,0.0,0
85,10040,New York County,40.86,-73.93,0.38,0
86,10018,New York County,40.76,-73.99,0.32,5
87,10022,New York County,40.76,-73.97,0.44,2
88,10023,New York County,40.78,-73.98,0.49,4
89,10036,New York County,40.76,-73.99,0.44,7
90,10115,New York County,40.8108,-73.9637,0.0,0
91,10177,New York County,40.791,-73.966,0.0,0
92,10174,New York County,40.791,-73.966,0.0,0
93,10279,New York County,40.791,-73.966,0.0,0
94,11434,Queens County,40.67,-73.77,3.24,0
95,11378,Queens County,40.73,-73.91,2.55,1
96,11005,Queens County,40.759,-73.714,0.18,0
97,11109,Queens County,40.744,-73.956,0.04,1
98,10303,Richmond County,40.63,-74.16,3.14,0
99,10461,Bronx County,40.84,-73.84,2.4,2
100,10451,Bronx County,40.82,-73.92,1.01,2
101,10471,Bronx County,40.9,-73.9,2.58,0
102,11223,Kings County,40.6,-73.97,2.07,2
103,11221,Kings County,40.69,-73.93,1.38,4
104,11203,Kings County,40.65,-73.93,2.15,0
105,11232,Kings County,40.64,-74.02,1.28,6
106,11229,Kings County,40.6,-73.94,2.17,4
107,11222,Kings County,40.73,-73.95,1.52,8
108,11212,Kings County,40.66,-73.92,1.54,1
109,11207,Kings County,40.67,-73.9,2.67,2
110,11237,Kings County,40.7,-73.92,0.98,5
111,11228,Kings County,40.62,-74.01,1.47,0
112,10013,New York County,40.72,-74.01,0.55,9
113,10029,New York County,40.79,-73.95,0.83,4
114,10021,New York County,40.77,-73.96,0.39,2
115,10014,New York County,40.74,-74.01,0.57,3
116,10006,New York County,40.708,-74.013,0.09,0
117,10020,New York County,40.759,-73.981,0.0,0
118,10278,New York County,40.715,-74.004,0.0,0
119,10280,New York County,40.707,-74.017,0.14,0
120,10172,New York County,40.791,-73.966,0.0,0
121,10103,New York County,40.761,-73.978,0.01,0
122,10110,New York County,40.7539,-73.9807,0.0,1
123,11429,Queens County,40.71,-73.74,1.3,1
124,11362,Queens County,40.76,-73.74,2.52,0
125,11368,Queens County,40.75,-73.85,2.63,2
126,11412,Queens County,40.7,-73.76,1.65,0
127,11414,Queens County,40.66,-73.85,2.3,0
128,11413,Queens County,40.67,-73.75,3.1,2
129,11416,Queens County,40.69,-73.85,0.67,1
130,10314,Richmond County,40.6,-74.15,13.71,0
131,10467,Bronx County,40.88,-73.87,2.33,0
132,10458,Bronx County,40.86,-73.89,1.01,1
133,10472,Bronx County,40.83,-73.86,1.05,1
134,11204,Kings County,40.62,-73.99,1.59,2
135,11216,Kings County,40.68,-73.95,0.94,4
136,11219,Kings County,40.63,-74.0,1.48,1
137,11208,Kings County,40.67,-73.87,3.46,5
138,11233,Kings County,40.68,-73.92,1.35,0
139,11217,Kings County,40.68,-73.98,0.75,5
140,11225,Kings County,40.66,-73.96,0.88,2
141,10035,New York County,40.8,-73.93,1.4,1
142,10016,New York County,40.74,-73.97,0.53,0
143,10012,New York County,40.726,-73.998,0.32,6
144,10024,New York County,40.81,-73.97,0.86,2
145,10119,New York County,40.751,-73.992,0.02,0
146,10167,New York County,40.755,-73.975,0.0,0
147,10170,New York County,40.791,-73.966,0.01,0
148,11354,Queens County,40.77,-73.82,2.17,0
149,11419,Queens County,40.69,-73.82,1.13,0
150,11374,Queens County,40.72,-73.86,0.93,4
151,11427,Queens County,40.73,-73.75,1.58,0
152,11377,Queens County,40.75,-73.91,2.55,4
153,11106,Queens County,40.76,-73.94,0.86,1
154,11361,Queens County,40.76,-73.77,1.76,1
155,11365,Queens County,40.74,-73.79,2.5,0
156,11364,Queens County,40.75,-73.76,2.47,0
157,11451,Queens County,40.702,-73.795,0.0,0
158,10311,Richmond County,40.605,-74.18,0.0,0
159,10460,Bronx County,40.84,-73.88,1.32,0
160,10456,Bronx County,40.83,-73.91,1.02,0
161,10452,Bronx County,40.84,-73.92,0.98,0
162,10469,Bronx County,40.87,-73.85,2.48,0
163,10475,Bronx County,40.87,-73.83,1.72,0
164,11231,Kings County,40.68,-74.0,1.42,6
165,11236,Kings County,40.64,-73.9,3.6,0
166,10199,New York County,40.7522,-73.9965,0.03,1
167,10004,New York County,40.7,-74.02,0.56,0
168,10019,New York County,40.77,-73.99,0.68,7
169,10007,New York County,40.714,-74.008,0.16,1
170,10152,New York County,40.7584,-73.9718,0.0,0
171,10282,New York County,40.716,-74.015,0.09,0
172,10162,New York County,40.791,-73.966,0.01,0
173,10171,New York County,40.756,-73.974,0.0,0
174,11385,Queens County,40.7,-73.88,3.61,5
175,11433,Queens County,40.7,-73.79,1.55,0
176,11356,Queens County,40.78,-73.85,1.57,0
177,11375,Queens County,40.72,-73.85,1.98,2
178,11104,Queens County,40.74,-73.92,0.39,0
179,11351,Queens County,40.704,-73.832,0.0,1
180,10304,Richmond County,40.61,-74.09,3.87,1
181,10309,Richmond County,40.54,-74.22,6.72,0
182,10307,Richmond County,40.51,-74.24,1.96,0
183,10466,Bronx County,40.89,-73.84,2.02,2
184,10459,Bronx County,40.83,-73.89,0.82,0
185,10453,Bronx County,40.85,-73.91,0.92,0
186,10474,Bronx County,40.81,-73.89,1.53,0
187,11214,Kings County,40.6,-74.01,2.18,2
188,11201,Kings County,40.7,-73.99,1.42,6
189,11218,Kings County,40.65,-73.98,1.43,3
190,10034,New York County,40.86,-73.93,1.13,1
191,10038,New York County,40.71,-74.003,0.3,2
192,10033,New York County,40.84,-73.94,0.6,3
193,10001,New York County,40.75,-73.99,0.62,4
194,10003,New York County,40.73,-73.99,0.58,6
195,10111,New York County,40.7591,-73.9776,0.0,0
196,10069,New York County,40.778,-73.988,0.1,0
197,10010,New York County,40.73,-73.98,0.39,0
198,10168,New York County,40.791,-73.966,0.0,0
199,11379,Queens County,40.72,-73.88,2.07,1
200,11367,Queens County,40.73,-73.83,2.38,1
201,11435,Queens County,40.7,-73.81,1.51,0
202,11692,Queens County,40.59,-73.8,1.0,0
203,11103,Queens County,40.76,-73.91,0.71,3
204,11102,Queens County,40.77,-73.93,0.81,0
205,11693,Queens County,40.61,-73.82,1.0,0
206,11369,Queens County,40.76,-73.87,1.07,0
207,11363,Queens County,40.77,-73.74,0.87,1
208,11371,Queens County,40.77,-73.87,0.0,0
209,11359,Queens County,40.78,-73.77,0.0,0
210,10308,Richmond County,40.55,-74.14,1.97,1
